Mês,Entrada,Saída,Saldo Final,,,,,,,,,,,Conclusão primeiro semestre:
Janeiro,R$ 200.000,R$ 85.000,R$ 115.000,,,,,,,,,,,"No primeiro semestre nós tivemos um faturamento de 730 mil reais, e um lucro de 139 mil reais.
No primeiro trimestre nós tivemos apenas despesas, gastamos aproximadamente 266 mil reais, sendo 56% parcelas do terreno e 19% de impostos obrigatórios
Após investirmos em marketing ( Abril e Maio ) nós obtivemos um faturamento de aproximadamente 730 mil reais, sendo maio o mês com o maior resultado, faturando 310 mil reais.
Em junho nós não investimos em marketing, fazendo com que esse número caia em aproximadamente 63% em relação aos meses anteriores."
Fevereiro,R$ 0,R$ 87.000,-R$ 87.000,,,,,,,,,,,Conclusão segundo semestre
Março,R$ 0,R$ 94.000,-R$ 94.000,,,,,,,,,,,"No segundo semestre nós tivemos um faturamento de 565 mil reais, ficando com um prejuízo de 370 mil reais.
Em setembro investimos em marketing, fazendo com que o resultado do mês seguinte fosse um pouco melhor em relação ao resultado de setembro, diminuindo o prejuízo em 15%
Em novembro também investimos em marketing, fazendo com que o resultado de dezembro fosse o melhor do semestre inteiro, fechando com um prejuízo de ""apenas"" 32 mil reais, sendo 69% melhor em relação ao pior mês"
Abril,R$ 245.000,R$ 150.000,R$ 95.000,,,,,,,,,,,
Maio,R$ 310.000,R$ 50.000,R$ 260.000,,,,,,,,,,,
Junho,R$ 175.000,R$ 125.000,R$ 50.000,,,,,,,,,,,
Julho,R$ 90.000,R$ 130.000,-R$ 40.000,,,,,,,,,,,
Agosto,R$ 90.000,R$ 142.500,-R$ 52.500,,,,,,,,,,,
Setembro,R$ 80.000,R$ 155.000,-R$ 75.000,,,,,,,,,,,
Outubro,R$ 95.000,R$ 160.000,-R$ 65.000,,,,,,,,,,,
Novembro,R$ 60.000,R$ 165.000,-R$ 105.000,,,,,,,,,,,
Dezembro,R$ 150.000,R$ 182.000,-R$ 32.000,,,,,,,,,,,
Total do ano,R$ 1.495.000,R$ 1.525.500,-R$ 30.500,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Conclusão geral,,,,,,,,,,,,,,
"Fechamos o ano em negativo, aproximadamente 30.500 mil reais em prejuízo, porém esse resultado pode ser melhor caso investirmos em marketing, os resultados do primeiro
semestre demonstram valores positivos, diferente do segundo, no qual tivemos uma grande queda no investimento de marketing e fazendo com que piorassem os nossos números",,,,,,,,,,,,,,